ID_REF,GSM1443061,GSM1443062,GSM1443063,GSM1443064,GSM1443065,GSM1443066
411,0.03,0.04,0.06,0.08,0.08,0.11
412,0.53,0.8,0.44,1336807,0.66,5599385
413,2621289,0.04,1030973,81388181,69933234,0.11
414,34068661,14234149,4595251,23722790,12896163,15458985
415,3662392,0.98,1060479,1312286,0.75,0.48
416,0.89,1300294,3797822,0.8,2253063,1316539
417,6471473,18426004,42298182,113277218,227319929,132977810
434,0.03,0.05,0.05,0.09,0.09,0.1
435,0.28,0.31,0.6,0.24,0.24,0.1
436,0.03,0.04,0.17,0.09,0.09,9388135
437,6515598,7786693,0.15,115060177,68979083,0.1
439,0.4,0.21,0.21,0.9,0.26,0.12
440,0.03,1112357,0.05,5615396,0.09,0.81
441,1626335,2945711,1000144,0.48,1734930,0.17
442,90529225,200650472,235133288,89471820,536676727,360525290
443,0.03,0.09,0.05,0.09,0.09,7290174
444,0.4,0.4,4808606,0.96,0.43,0.14
446,76485335,193361645,278123316,752534198,1077024193,303447589
447,10131486,61648003,3358593,130455867,135051245,0.89
448,7824460,3897757,60326095,9029101,13898634,0.85
449,12704264,11851315,7134061,65377395,99708900,68527644
450,0.91,1655414,1218451,1385542,0.77,12478699
451,11733738,20447997,13660721,14262278,5151602,2137094
452,1249692,2654314,2517122,1668814,3891949,0.33
453,6351126,23666496,8292936,4792427,4443289,1282683
454,0.03,0.04,0.07,0.09,0.08,6640823
455,15708282,0.06,0.36,0.09,0.13,0.1
456,0.84,0.48,0.78,0.38,4732532,0.2
457,10719659,45651084,128249105,350978898,219209998,159929462
458,0.25,0.04,0.05,0.09,0.12,0.17
459,0.03,0.04,0.05,0.08,0.08,0.1
460,0.08,9003753,8947092,0.16,0.34,3705107
461,0.03,0.04,0.05,0.08,0.08,0.1
462,0.03,0.04,0.05,0.08,0.08,0.1
463,1208233,0.04,0.12,3940041,14732870,4632244
464,0.26,0.45,1468770,0.94,0.36,0.18
465,0.03,0.04,4300698,0.08,0.08,0.1
466,0.03,0.04,0.05,0.08,0.11,0.1
467,0.1,0.09,0.08,0.08,0.09,0.1
468,2740550,3852713,8330855,4712624,6279500,1322324
469,24470423,51493777,49212773,36113349,277289365,8436575
470,2280522,2429083,4902801,1510266,5757502,1692857
471,25369452,16752936,47487282,37642991,37883641,4957367
472,0.03,0.11,0.05,0.08,0.17,0.11
473,22547322,14551262,1346866,65476430,0.66,16838452
474,2361468,0.06,0.25,0.23,0.17,0.17
475,25805254,19282399,33126855,19371444,8007893,2688977
476,0.82,1063819,0.94,0.47,0.24,0.17
477,0.48,0.28,0.78,0.5,0.55,0.17
478,5965128,18763437,15057039,14353067,13561256,2103399
479,0.03,0.04,0.05,0.15,0.07,0.11
480,0.03,0.04,0.05,0.17,0.23,0.11
481,0.03,0.04,0.05,0.08,0.07,0.11
482,42070629,56639525,92210417,308350313,247000761,213592656
483,10490159,21237348,28134847,14176354,10289116,13190240
484,0.18,0.5,0.06,0.08,0.13,0.31
485,69620405,83562203,73991984,47757939,56849639,18146182
486,0.48,0.37,0.34,1121805,0.32,1856605
487,0.09,0.04,0.15,0.48,0.92,0.15
488,0.03,0.04,0.06,0.08,0.08,0.11
489,1170365,9573798,0.32,0.08,39106899,9147792
490,0.04,6974830,0.06,0.08,0.12,0.53
491,1030771,0.69,0.86,1367619,1255538,1771600
492,4188312,8207976,7214930,15547458,4462508,0.92
493,0.03,0.04,0.06,0.08,0.11,0.11
494,2884481,0.68,1466930,0.41,0.26,0.4
495,2118404,0.56,1872009,0.33,1419886,0.71
496,0.13,4745691,0.07,0.29,0.08,0.19
497,0.36,2749474,0.88,0.47,0.47,0.11
498,0.03,0.04,0.06,0.08,0.08,0.11
499,1158816,0.04,0.49,0.19,0.09,0.11
500,0.03,2279120,0.06,0.08,0.08,7364100
501,1260984,8101291,0.06,0.08,0.09,3113358
502,0.03,0.04,0.06,0.08,0.09,0.11
519,0.08,0.04,0.05,0.09,0.09,0.1
520,44007119,25618553,147666349,37002726,29493185,4483979
521,2923936,0.57,53011481,107112613,40716447,23709311
522,0.86,0.04,0.05,0.09,0.09,0.23
523,0.15,0.26,0.19,0.58,0.4,0.23
524,29101019,46819135,14629070,31457050,68884520,72848077
525,0.38,0.36,0.36,0.43,1237119,0.19
526,0.07,0.04,0.09,0.17,0.11,2046028
527,12637793,25965291,4233248,3405881,5075600,1105698
528,4053671,1112613,1822921,2324991,1725745,6876555
529,0.23,1229439,0.12,0.79,47177671,0.17
530,5033303,6439230,6410782,8683332,10302133,2991840
531,0.03,0.04,0.05,0.09,0.09,0.1
532,0.03,10589373,0.05,0.09,0.09,0.25
533,3586418,8210690,9050802,4689876,8494681,0.75
534,60401318,128516254,1761261,110298487,251367021,86422357
535,0.16,29099670,0.21,0.51,0.1,11746298
536,61528893,25710493,61361701,67190257,107282065,52523364
537,3739570,3338882,7685826,4078476,5263525,1138215
538,2030916,78849978,19095100,0.09,0.08,7361595
539,0.39,0.33,0.26,0.55,28281394,1479050
540,71536175,41282164,63728974,41975432,57200997,6418049
541,0.03,0.04,0.05,0.09,0.08,0.1
542,4747336,2379146,2794814,25495384,73824820,9020301
543,12139840,55992674,84848817,269468194,32284057,44115026
544,0.47,2780954,3348022,0.08,2205352,5447950
545,1873336,47100136,4948213,89820515,1293964,0.85
546,2097328,0.86,28388345,0.14,0.08,12595088
547,1316271,48180874,71743522,419327201,96577606,180527002
548,0.23,0.15,0.19,0.34,0.36,0.13
549,8480939,40934144,26624930,300595324,61492418,94558388
550,269044599,451809595,363405456,1120896210,1452048878,489468366
551,2863857,1922745,5338085,3102545,14672992,4611094
552,0.11,0.11,0.19,0.34,0.08,0.1
553,5580384,9763013,39515496,8098936,0.17,40589101
554,0.53,41037954,153746733,324515831,273083647,268186359
555,0.41,0.52,0.41,0.52,0.68,0.32
557,0.17,0.12,0.3,0.63,0.71,0.13
558,3016414,6029773,2568839,4006246,24241167,1034893
559,0.03,0.04,0.05,0.08,0.07,0.11
560,2110453,0.04,0.05,29238682,0.96,0.11
561,0.03,0.04,0.05,0.08,0.12,0.11
562,54076291,50053766,104980040,449244947,287758394,111560811
563,0.44,0.53,3918833,0.91,4779768,0.36
564,5827377,7626366,29915756,16906689,0.07,24366413
565,52229925,19364481,24857135,293255913,174375178,98402880
566,7319566,38749834,0.13,0.14,20568623,120491871
567,0.03,0.04,0.13,0.08,0.07,0.11
568,0.08,0.19,0.21,0.08,0.07,0.48
569,0.17,0.04,0.05,0.08,0.07,0.11
570,0.07,0.04,0.15,0.08,0.27,0.11
571,0.06,0.17,0.06,0.08,0.08,0.11
572,0.1,9696556,0.14,32701165,6205637,25870457
573,0.14,2887596,4405334,0.47,0.4,0.11
574,12712627,11548414,11751519,8892191,16672599,6137156
575,0.09,0.04,0.06,0.08,0.08,0.28
576,1655955,0.21,0.2,0.08,0.25,0.13
578,0.4,12153300,5449952,27976379,54448510,20740607
579,2249824,0.54,0.06,1735853,0.9,11851745
580,1365692,0.33,0.34,0.14,0.08,0.15
581,0.03,0.04,0.06,0.08,0.08,6581561
582,0.29,0.04,0.06,0.08,0.13,1048595
583,0.08,0.07,0.06,0.08,0.1,0.11
584,2513630,0.67,35715471,0.76,0.16,0.26
585,28241857,8312798,45844324,261448212,236795408,44646370
586,0.16,0.09,0.28,0.23,0.26,0.31
587,0.04,0.23,0.06,0.08,4959285,0.12
588,81231551,295310294,287935508,832901816,1040854924,671480703
603,1657145,0.04,0.05,0.09,0.09,7010526
604,0.1,9859611,2100852,0.13,230585184,0.97
605,0.29,0.49,0.46,0.3,0.24,0.1
606,0.03,0.04,0.05,0.09,0.09,0.1
607,9714774,9918584,20527324,9612833,17554687,8217662
608,1550969,0.62,0.87,0.61,1063519,0.17
609,0.45,0.42,1598955,0.29,0.18,0.62
610,0.21,0.2,0.24,23903141,0.91,11751457
611,0.03,0.04,0.05,0.09,0.09,0.1
612,2578015,0.15,0.2,0.91,0.43,0.18
613,0.55,0.49,0.29,0.49,0.32,0.42
615,2829618,4344783,3612474,4176690,2508279,1260576
616,13442454,1507237,2146641,4009211,1426915,0.35
617,0.82,4312908,0.33,0.43,0.32,7544352
618,0.18,0.14,0.33,0.3,0.29,0.15
619,172724019,234393739,323137657,683128468,769818247,183197511
620,0.13,0.1,1756954,1211518,7684605,0.1
621,1199415,1271984,1104944,1067479,0.08,0.32
622,0.03,10113211,0.05,0.12,0.08,2233384
623,24620256,37971939,66734621,13354834,33984233,17694772
624,4304446,1378793,2042008,1024798,2770412,0.49
625,0.59,0.77,0.65,0.85,0.54,0.18
626,1120732,1421626,1863804,1018373,1303615,0.86
627,6389774,2323810,20015805,0.08,4642409,18715085
628,17930905,55644428,0.05,0.11,31267693,67152871
629,0.03,11908718,11807659,0.15,0.08,17755535
630,0.83,0.35,0.05,2712672,0.08,3414751
631,4042073,2637578,19829651,3014011,3054368,0.98
632,0.03,0.04,0.05,0.08,0.08,1649296
633,0.49,1633074,42249364,27266903,113936109,33545661
634,7119299,12584430,14979445,17437593,14038472,3764681
635,0.03,0.04,0.05,0.08,0.08,0.1
636,0.07,0.04,0.08,0.12,0.09,0.1
637,0.76,0.78,1262783,1123984,1258322,0.75
638,0.19,64271443,0.34,0.26,0.29,3626968
639,30509721,5706320,4460692,3901031,3947320,0.8
640,5145332,0.8,1336893,69156716,15094442,22182876
641,0.06,0.04,0.21,0.08,0.17,5246665
642,0.52,1022151,1588712,2196424,0.52,0.29
643,0.04,0.04,0.05,0.08,0.07,0.11
644,14456474,13038172,6538111,9874931,33486866,1415466
645,124316162,177614619,107122734,453048323,301683301,36704647
646,0.53,0.52,0.15,0.17,0.2,5707846
647,44293831,59733165,83104658,209561515,136054042,10424173
648,2080492,20334795,12986402,101077317,1153341,2653219
649,0.17,0.09,0.29,0.08,0.19,0.16
650,6028686,3898163,14367642,16290199,33282024,0.18
651,1848006,23149722,1822112,0.49,0.17,33965740
652,2304542,1744470,1708420,1747873,1341591,9543475
653,8952397,6609229,6121339,9987462,6531194,2052481
654,18618259,55734155,86472520,5025501,9186926,65083938
655,58467442,42493582,56490751,69375085,70597636,6120132
656,0.48,1943232,2304671,14037496,22190913,5271299
657,0.25,0.22,2527560,0.56,0.42,0.5
658,0.21,3179601,5092897,56019622,178872889,33650474
659,0.74,0.79,1090780,0.86,2402479,0.11
660,0.03,0.04,0.06,0.08,0.08,0.11
661,0.09,0.04,0.07,0.08,0.15,0.11
662,0.03,0.04,0.06,0.08,0.12,0.11
663,2983276,3607973,2801831,79130641,26902254,22640649
664,0.69,0.19,4336110,181353644,7787004,63071417
665,2282232,0.07,0.06,7028793,0.12,6626358
666,0.03,0.04,0.06,0.08,0.08,0.11
667,0.15,0.14,0.27,0.15,0.36,0.18
668,11587252,0.43,3865231,0.34,90134343,0.54
669,0.03,0.04,0.06,0.08,0.21,0.11
670,5145575,60394903,6130958,3486906,29807847,8134062
671,0.03,0.07,0.06,0.08,0.16,0.24
672,5595587,4251940,9908004,5372709,7822613,2096637
673,11011387,17400265,5355027,6353868,108365011,11765870
688,1592543,1109777,0.28,2843201,1673874,0.66
689,0.03,1671955,1611907,3038505,0.09,7534171
691,25483363,45026188,217521476,209676508,472955552,31159444
692,0.03,0.04,0.05,0.09,0.19,0.16
693,0.03,0.04,0.14,0.09,1359330,1207036
694,0.65,0.33,0.34,0.99,0.66,1021148
695,0.2,3111922,0.31,0.68,2274383,0.1
